Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7880082701585114,0.8871117292535929,0.7845428454284543,0.832680591818973,0.8621600109564411
Random Forest,0.9037904893177119,0.9120662460567823,0.948339483394834,0.9298492462311557,0.9535344354284939
XGBoost,0.8844934527911785,0.9281475201356507,0.8977039770397705,0.9126719466444352,0.9518566010228887
