Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.780289455547898,0.6343975283213182,0.777450567942785,0.6986767485822306,0.8624812699536335
Random Forest,0.906685044796692,0.8891941391941391,0.8169962137147665,0.851567638675729,0.958053794883763
XGBoost,0.8850447966919366,0.8017207665232694,0.8624316365166176,0.8309687880016214,0.9553733305528259
